date_debut,date_fin,titre_court,description_rapide,categorie,pays
2017-03-15,2017-03-15,Élections générales de 2017 et début Rutte III,Coalition centrée autour du VVD et du D66/ChristenUnie,Politique,NL
2017-03-16,2017-12-31,Record économique et croissance modérée,Amélioration de l’emploi et stabilisation budgétaire,Économie,NL
2018-01-01,2018-12-31,Réformes scolaires et travail social,Politiques publiques dans l’Éducation et le Bien-être social,Social/Économie,NL
2019-01-01,2019-12-31,Dialogue et réforme des soins et du logement,Réformes structurelles des services publics et du logement,Social/Économie,NL
2020-01-01,2020-12-31,Impact de la pandémie et mesures sanitaires,Réponses néerlandaises à la pandémie COVID-19 et soutien économique,Santé/Économie,NL
2021-01-01,2021-12-31,Élections législatives et réorientation politique,Élection qui redistribue les forces et influence les politiques publiques,Politique,NL
2022-01-01,2022-12-31,Transition énergétique et climat,Initiatives néerlandaises sur énergie renouvelable et réduction des émissions,Environnement/Économie,NL
2023-01-01,2023-12-31,Crise gouvernementale et restructuration,Épisode de tension politique conduisant à des ajustements ministériels,Politique,NL
2024-01-01,2024-12-31,Innovation technologique et économie digitale,"Accent sur la tech, la cybersécurité et la numérisation",Technologie/Économie,NL
2025-01-01,2025-12-31,Projections économiques et enjeux sociétaux,"Croissance modérée, défis démographiques et cohésion sociale",Économie/Social,NL
2019-12-31,2020-06-30,Stabilisation des importations de bois tropical via la Belgique,Les échanges européens de bois tropical restent importants et Belgique demeure un hub logistique,Économie/Logistique/Global,Belgique
2020-03-01,2020-06-30,Impact COVID-19 sur les importations et la logistique du bois en Belgique,"Perturbations de chaînes d'approvisionnement, hausse des coûts logistiques",Économie/Logistique,Belgique
2021-12-31,2022-06-30,Reprise de la demande belge en bois et meubles après la pandémie,Restauration du secteur construction et DIY,Économie/Social,Belgique
2023-12-31,2024-01-31,Cadre européen sur les produits liés à la déforestation et son adhesion en vigueur progressive,Initiatives de traçabilité et diligence pour lutter contre le bois illégal,Politique/Environnement/Global,Belgique
2013-07-21,2013-07-21,Montée sur le trône de Philippe,Philippe devient roi des Belges après la abdication d'Albert II,Politique/Géopolitique,BE
2014-05-25,2014-05-25,Élections fédérales belges 2014,Élections fédérales qui anticipent une période de négociations pour la formation d'un nouveau gouvernement,Politique/Juridique,BE
2016-03-22,2016-03-22,Attentats de Bruxelles,Attaques à l'aéroport de Zaventem et au métro Maelbeek,Sécurité/Global,BE
2016-08-06,2016-09-01,Attaque au couteau à Charleroi,Attaque par arme blanche contre des policiers à Charleroi,Sécurité/Autre,BE
2016-09-07,2016-10-01,Attaque au couteau à Molenbeek,Stabbing contre des policiers à Molenbeek,Sécurité/Autre,BE
2019-05-26,2019-06-26,Élections fédérales belges 2019,Nouvel élan politique et négociations pour former le gouvernement fédéral,Politique/Géopolitique,BE
2020-03-18,2020-04-18,Confinement lié au COVID-19,Mesures de confinement nationales pour freiner la pandémie,Santé/Environnement,BE
2020-04-01,2020-04-30,Renforcement des mesures sanitaires,Renforcement des restrictions et adaptation du plan de lutte contre le virus,Santé,BE
2021-02-01,2021-02-28,Lancement de la campagne de vaccination,Début de la vaccination des populations prioritaires contre le COVID-19,Santé/Global,BE
2024-05-25,2024-06-25,Élections fédérales belges 2024,Élections fédérales et poursuite du processus de formation du gouvernement,Politique/Géopolitique,BE
2020-03-19,2020-04-19,Confinement renforcé et état d’urgence,Extension des mesures de confinement et adaptation des règles,Santé/Politique,BE
2023-07-25,2023-08-25,Reconnaissance des victimes liées aux attentats 2016,Procédures et reconnaissance officielle des victimes des attaques de 2016,Justice/Social,BE
2013-03-01,2013-03-01,Mise en œuvre de l'EUTR (Réglementation du bois de l'UE),Loi européenne imposant une diligence raisonnable pour les importations de bois dans l'UE,Politique/Juridique/Économie/Logistique,EU27
2015-01-01,2015-12-31,Mise en place de la diligence raisonnable par les importateurs polonais,Les importateurs de produits forestiers doivent disposer de procédures de diligence et de documents,Politique/Juridique/Économie/Logistique,Poland
2016-03-01,2016-04-01,Triplement des coupes dans la forêt de Białowieża,Décision du gouvernement polonais d'augmenter les coupes pour des raisons de sécurité et de gestion forestière,Politique/Environnement/Logistique,Poland
2017-11-22,2017-11-22,Arrêt des coupes à Białowieża par la Cour de justice européenne,La CJUE ordonne l'arrêt des coupes actives dans la forêt,Juridique/Environnement,Poland
2022-02-01,2022-02-01,Renforcement des sanctions contre le bois biélorusse impactant les importations,L'UE sanctionne le bois en provenance de Biélorussie et affecte les flux polonais,Géopolitique/Économie/Politique,Poland/EU
2024-03-26,2024-03-26,Importations de bois via des documents contrefaits pour les sanctions Belarus,Investigation montrant des tentatives d'évasion des sanctions via des documents faux,Géopolitique/Logistique/Économie,Poland
2025-01-02,2025-01-02,Entrée en vigueur des nouvelles régulations de ventes de bois en Pologne,Règles favorisant le traitement local du bois et limitant l'exportation de bois non transformé,Politique/Économie/Logistique,Poland
2025-03-15,2025-04-15,Blocage des exportations de bois ukrainien à la frontière polonaise,Mesures temporaires qui retiennent les cargaisons suspectes ou risquées,Politique/Économie/Logistique,Poland/Ukraine
2012-06-08,2012-07-01,Euro 2012 organisé en Pologne et Ukraine,"Pologne et l’Ukraine ont accueilli les matches du championnat d’Europe de football, renforçant l’image européenne et stimulant l’économie locale",Politique/Géopolitique/Économie,Pologne/Ukraine
2015-10-25,2015-11-25,Victoire électorale du parti PiS,"Le parti Droit et Justice (PiS) remporte les législatives et forme le gouvernement, marquant un tournant politique majeur",Politique/Géopolitique,Pologne
2016-12-20,2016-12-20,Réforme du système judiciaire entamée,Adoption de lois permettant des nominations et des mesures disciplinaires susceptibles d’influencer l’indépendance judiciaire,Politique/Juridique,Pologne
2017-12-20,2018-01-31,Crise constitutionnelle / Tribunal constitutionnel,Crises entre le gouvernement et le Tribunal constitutionnel sur l’indépendance et les nominations,Politique/Juridique,Pologne
2020-02-08,2020-02-28,Soutien public à la réforme judiciaire,Manifestations et soutien public importants en faveur des réformes judiciaires entreprises par le gouvernement PiS,Politique/Juridique,Pologne
2020-11-01,2020-11-03,Règle sur l’interruption médicale de grossesse (défendue par le Tribunal),"Règle constitutionnelle restreignant fortement l’avortement, déclenchant d’importantes manifestations",Social/Juridique,Pologne
2020-11-05,2020-11-15,Protestations nationales contre les réformes,Plusieurs centaines de milliers de manifestants à travers le pays contre les réformes judiciaires et les restrictions,Social,Pologne
2020-12-04,2020-12-04,Violations perçues de l’État de droit par l’UE,Raisons liées à la réforme judiciaire provoquant une escalade des tensions avec l’Union européenne,Politique/Géopolitique,Pologne
2021-07-25,2021-07-25,Crise sanitaire et pandémie de Covid-19,Mesures sanitaires et déploiement des campagnes de vaccination dans le contexte de la pandémie,Santé/Logistique,Pologne
2022-04-01,2022-04-01,Crise agricole liée aux importations ukrainiennes,"Blocage et rétablissement des flux agricoles, tensions entre Polonais et Bruxelles",Économie/Social,Pologne
2023-09-21,2023-09-21,Grain et approvisionnements après invasion,Conflit russo-ukrainien et répercussions en Pologne sur le commerce agricole et les politiques commerciales,Économie/Politique,Pologne/UE
2023-10-15,2023-10-15,Élections parlementaires et changement de gouvernement,Victoires et résultats électoraux menant à la formation du gouvernement dirigé par Donald Tusk,Politique/Géopolitique,Pologne
2023-12-22,2023-12-22,prise de fonction de M. Donald Tusk,Investiture du nouveau gouvernement et réorientation des politiques intérieures et extérieures,Politique/Géopolitique,Pologne
2024-02-01,2024-02-01,Réformes économiques et sociale,Plan de soutien économique et mesures sociales adoptées par le gouvernement post-electoral,Économie/Social,Pologne
2025-03-10,2025-03-10,Adaptations post-pandémie et innovations technologiques,"Mesures publiques pour accélérer l’innovation, la digitalisation et la résilience économique",Technologie/Économie,Pologne
2013-03-03,2013-04-30,EU Timber Regulation entre en application en Autriche,Mise en œuvre des obligations de diligence et interdiction de commercialiser du bois illégal sur le marché,Politique/Juridique/Logistique/Économie,Autriche/EU
2023-05-31,2023-07-31,Réglementation UE 2023/1115 sur les produits déforestation-compatibles adoptée,Adoption d’un cadre visant à zéro déforestation pour certains produits et remplacement progressif du cadre EUTR,Politique/Juridique/Économie/Global,EU/Austria
2025-12-30,2026-06-30,Entrée potentielle des grandes entreprises dans la déforestation zéro (EUDR) et impacts sur l’import/export autrichien,Cadre transitoire prévu pour appliquer les exigences de traçabilité et deforestation-free,Politique/Juridique/Économie/Logistique,EU/Austria
2016-11-15,2016-12-15,Arbitrage suédois sur le teck du Myanmar,Décision de justice suédoise estimant que le teck du Myanmar importé via un intermédiaire n'était pas dûment traçable selon l'EUTR,Environnement/Juridique/Économie,Sweden/Myanmar
2013-10-01,2013-11-01,Hausse des exportations suédoises de bois,Récapitulatif des augmentations d'exportation de bois d'œuvre suédois vers divers marchés européens et mondiaux,Économie/Logistique,Sweden
2014-02-01,2014-03-01,Croissance du bois suédois sur le marché chinois,Les scieries suédoises renforcent leur présence en Chine et projettent des volumes exportés en hausse,Économie/Logistique/Global,Sweden/China
2023-12-15,2024-01-15,Adoption de la Regulation Déforestation de l'UE (EUDR),Réglementation européenne remplaçant EUTR visant à exclure du marché les produits bois liés à la déforestation,Politique/Juridique/Économie/Global,EU27
2024-12-30,2025-01-30,Entrée en vigueur progressive de l'EUDR (phase initiale),Application de l'EUDR avec des dispositions de diligence raisonnable et traçabilité pour les opérateurs,Politique/Juridique/Économie/Logistique,EU27
2022-03-01,2022-12-31,Arrêt progressif des importations de bois russes par la Finlande,Suite aux sanctions de l'UE et au boycott des produits russes,Politique/Sanitaire/Économie/Logistique,Finlande/Russie
2022-07-01,2022-09-30,Chute des importations russes de bois vers la Finlande (Q3 2022) ,Les flux en provenance de Russie tombent à zéro pour les copeaux/longues et logs,Économie/Logistique,Finlande/Russie
2023-03-23,2023-03-31,Finlande: importations de bois et copeaux russes tombées à zéro au T3 2022,Rapport sur la disparition des flux russes dans l'approvisionnement forestier,Économie/Logistique,Finlande/Russie
2024-01-01,2024-12-31,Diversification des approvisionnements forestiers finlandais,Renforcement des achats auprès de Suède/Baltique et/ou Brésil/SudAfrique,Économie/Logistique,Finlande
2024-06-01,2024-06-30,Évolution des flux logistiques post-sanctions,Adaptation des chaînes d'approvisionnement forestier finlandais après 2022,Logistique/Économie,Finlande
2024-09-01,2024-12-31,Impact des sanctions internationales sur les exportations finlandaises de produits bois vers l’Asie (Japon notamment),Réorientation des marchés et volumes,Économie/Global,Finlande/Japon
2025-01-01,2025-12-31,Accroissement de la demande domestique et déforestation contrôlée en Finlande,Augmentation des volumes locaux pour compenser les pertes d'approvisionnement externes,Économie/Environnement,Finlande
2012-02-05,2012-03-05,Élection et entrée en fonction de Sauli Niinistö,Niinistö élu président finlandais et prend ses fonctions en mars 2012,Politique/Géopolitique,Finlande
2012-03-01,2018-03-01,Présidence de Sauli Niinistö,Niinistö assure la continuité de la politique intérieure et externe jusqu’à son second mandat,Politique,Finlande
2014-05-25,2014-05-25,Élections européennes en Finlande,La Finlande participe aux élections européennes (13 sièges) avec répartition des sièges selon les partis,Politique/Économie/Global,EU27
